ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),YYYY-MO-DD HH-MI-SS_SSS
0.0566,9.8257,0.1224,-0.0011,0.0464,-0.0302,1.368738,103.89511,44,NaN,,25.024,2020-05-22 09:15:08:617
0.1712,9.7011,-0.0449,0.0152,0.045,-0.1156,1.368738,103.89511,44,NaN,,25.024,2020-05-22 09:15:09:116
0.4019,9.7202,-0.04,-0.0266,0.0539,-0.029,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:09:617
0.2917,9.3703,0.1989,-0.0222,0.418,0.1642,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:10:116
0.3396,9.0442,-0.0352,0.022,0.715,0.0691,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:10:616
0.3345,9.0682,0.3373,0.0077,0.7244,-0.0721,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:11:116
0.3584,9.1066,0.1653,-0.015,0.6954,-0.0326,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:11:616
0.282,9.3223,0.3231,0.0468,0.4028,-0.1219,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:12:117
0.354,9.6004,0.1846,0.0116,0.2349,-0.0986,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:12:617
0.3688,9.8449,0.1703,0.0051,-0.0481,0.2312,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:13:116
0.3498,9.749,0.2277,-0.0257,0.0812,0.0813,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:13:616
0.3681,9.7298,0.1988,-0.0216,0.0668,0.2268,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:14:117
0.3343,9.7634,0.1701,0.0213,0.038,0.0337,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:14:617
0.2721,9.7538,0.2083,-0.0513,0.0477,-0.0015,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:15:116
0.363,9.7298,0.2417,-0.0083,0.0477,-0.0497,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:15:616
0.3917,9.7107,0.1557,-0.0021,0.0381,0.0301,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:16:117
0.3724,9.7922,0.1461,-0.0144,0.0093,0.0525,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:16:617
0.3201,9.7346,0.2561,-0.0094,0.0188,-0.0348,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:17:116
0.4402,9.7538,0.1702,0.0129,0.0522,0.1322,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:17:616
0.4011,9.6963,0.2607,-0.0127,0.0138,0.0844,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:18:117
0.4009,9.7634,0.1508,-0.0369,0.0377,0.0528,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:18:617
0.3622,9.6292,0.2128,0.0057,0.0521,-0.1948,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:19:116
0.3764,9.7922,0.165,0.0202,-0.1204,0.0555,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:19:617
0.3866,9.8209,0.1413,-0.0945,0.033,0.0018,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:20:117
0.3628,9.7298,0.3372,-0.0066,0.0428,-0.0499,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:20:616
0.3434,9.7826,0.2941,0.0228,-0.01,0.0188,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:21:116
0.4297,9.8401,0.2416,-0.0685,-0.0675,-0.0605,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:21:617
0.4299,9.7874,0.1747,-0.0348,-0.0099,-0.1049,1.368508,103.89516,52,NaN,,25.454,2020-05-22 09:15:22:116
0.2717,9.797,0.1843,0.104,-0.053,-0.0701,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:22:617
0.4156,9.7778,0.17,0.0151,0.1147,0.1725,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:23:117
0.3527,9.7394,0.0743,0.025,0.0858,0.1841,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:23:616
0.2663,9.7155,0.1555,0.1001,0.0859,0.0292,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:24:117
0.3769,9.7346,0.2416,-0.0469,0.0619,-0.0445,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:24:617
0.3434,9.8066,0.2559,-0.0263,0.0042,-0.0437,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:25:117
0.3478,9.7251,0.2701,0.0297,0.0858,-0.125,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:25:616
0.3428,9.6963,0.208,0.0207,0.1051,-0.0191,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:26:117
0.3616,9.7826,0.1744,0.0032,0.0621,0.1397,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:26:617
0.3326,9.8258,0.2412,-0.0113,0.0237,-0.0703,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:27:116
0.3906,10.0463,0.055,0.0117,-0.2542,0.0787,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:27:617
0.3811,10.3867,0.3178,-0.0239,-0.5849,-0.1344,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:28:117
0.3526,10.6408,0.2653,-0.0517,-0.8007,-0.1245,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:28:616
0.3383,10.3627,0.1125,0.0033,-0.5611,-0.0829,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:29:116
0.347,10.0751,0.1266,-0.04,-0.2593,0.0975,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:29:617
0.3658,9.7539,0.1408,-0.0483,0.0379,0.137,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:30:117
0.3279,9.7586,0.1935,0.0517,0.038,-0.0429,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:30:617
0.3424,9.9121,0.2843,0.0236,-0.1443,-0.1135,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:31:116
0.3325,9.7059,0.2077,-0.0333,0.1098,-0.047,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:31:617
0.3995,9.7491,0.2698,-0.0188,0.0379,-0.022,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:32:117
0.4477,9.7586,0.1505,0.0143,0.0618,-0.0406,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:32:616
0.3518,9.7826,0.2699,0.0161,0.0186,-0.0797,1.368332,103.89493,,NaN,,60.926,2020-05-22 09:15:33:116
